provider_num,rpt_rec_num,fy_begin,fy_end,total_revenue,medicare_revenue,medicaid_revenue,other_revenue,medicare_pct,medicaid_pct,other_pct,medicare_days,medicaid_days,other_days,total_days,data_quality
140095,759177,07/01/2021,06/30/2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
140101,759178,01/01/2021,12/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
140147,759185,01/01/2021,12/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
140208,759194,01/01/2021,12/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
151309,759204,07/01/2021,06/30/2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
220100,759222,10/01/2020,09/30/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
220163,759223,10/01/2020,09/30/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
240057,759232,01/01/2021,12/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
261336,759244,07/01/2021,06/30/2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
360009,759269,01/01/2021,12/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
360156,759272,01/01/2021,12/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
390027,759288,07/01/2021,06/30/2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
394049,759304,03/01/2021,02/28/2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
420015,759305,10/01/2020,09/30/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
450651,759331,04/01/2021,03/31/2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
450713,759335,11/01/2020,10/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
500024,759349,01/01/2021,12/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
500148,759353,01/01/2021,12/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
520019,759356,07/01/2021,06/30/2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
520049,759362,10/01/2020,09/30/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
520066,759366,07/01/2021,06/30/2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
520139,759373,01/01/2021,12/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
